Minute,TVC,Label,MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9
142,2.40975,1,14.94,14.65,12.43,18.2,11.1,23.18,8.98,9.42,13.37,43.78,12.98
143,2.40975,1,14.94,14.47,12.43,18.12,11.02,23.18,8.98,9.42,13.32,43.78,12.92
144,2.40975,1,14.75,14.18,12.38,17.96,10.84,22.96,8.8,9.2,13.26,40.54,12.87
145,2.40975,1,14.87,14.24,12.43,18.12,10.93,23.07,8.87,9.38,13.32,42.94,12.67
146,2.40975,1,14.87,14.59,12.43,18.12,10.93,23.07,8.87,9.57,13.32,42.66,12.82
147,2.40975,1,14.87,14.24,12.43,18.12,10.89,23.51,8.87,9.49,13.32,42.66,12.87
148,2.40975,1,14.75,14.01,12.38,17.88,10.76,22.75,8.73,9.42,13.21,41.84,12.23
149,2.40975,1,14.87,14.18,12.48,18.04,11.1,22.86,8.8,9.49,13.32,42.38,12.27
150,2.40975,1,14.94,14.24,12.53,18.12,10.84,22.96,8.87,9.53,13.32,42.38,12.92
151,2.40975,1,14.94,14.3,12.48,18.12,10.89,22.96,8.87,9.49,13.32,40.04,13.08
152,2.40975,1,14.94,14.36,12.53,18.12,10.89,22.96,8.84,9.49,13.37,43.22,12.32
153,2.40975,1,14.94,14.3,12.63,18.12,10.84,22.96,8.84,9.42,13.37,44.66,12.23
154,2.40975,1,14.94,14.13,12.53,18.04,10.76,22.75,8.73,9.42,13.32,43.22,12.37
155,2.40975,1,14.87,14.13,12.58,18.04,10.8,22.86,8.8,9.42,13.32,43.78,11.94
156,2.40975,1,14.94,14.07,12.58,18.04,10.76,22.86,8.77,9.45,13.32,44.96,12.03
157,2.40975,1,14.87,14.01,12.58,17.96,10.72,22.86,8.7,9.38,13.32,42.94,12.03
158,2.40975,1,14.81,13.96,12.58,17.96,10.63,22.75,8.7,9.45,13.32,42.94,11.89
159,2.40975,1,14.87,14.01,12.63,18.28,10.72,22.86,8.7,9.45,13.32,42.66,12.77
160,2.40975,1,14.87,13.96,12.63,18.04,10.72,22.75,8.7,9.45,13.32,41.84,12.18
161,2.40975,1,14.81,13.9,12.63,17.96,10.63,22.75,8.63,9.6,13.32,44.07,12.32
162,2.40975,1,14.87,13.9,12.63,17.88,10.59,22.64,8.63,9.53,13.26,43.5,12.57
163,2.40975,1,14.87,13.9,12.63,17.96,10.63,22.75,8.67,9.42,13.32,41.05,12.47
164,2.40975,1,14.87,13.79,12.63,17.88,10.59,22.64,8.6,9.42,13.32,42.66,12.18
165,2.40975,1,15,13.74,12.63,17.8,10.51,22.54,8.53,9.38,13.32,43.22,12.03
166,2.40975,1,14.81,13.74,12.68,17.8,10.47,23.18,8.53,9.53,13.32,43.22,11.94
167,2.40975,1,14.81,13.68,12.73,17.8,10.47,23.51,8.46,9.57,13.32,43.5,11.99
168,2.40975,1,14.87,13.68,12.73,17.73,10.47,22.54,8.5,9.57,13.26,43.22,12.72
