MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label_1,Label_2,Label_3,Label_4
10.87,7.14,17.73,11.22,6.51,16.31,4.54,16.36,14.83,39.06,10.29,0,0,0,1
11.62,7.76,18.11,12.39,7.2,16.31,4.94,17.36,15.02,40.8,11.26,0,0,0,1
12.13,6.94,17.43,9.89,6.75,14.71,5.32,15.83,15.84,42.38,11.52,0,0,1,0
12.04,7.67,18.59,12.54,7.14,15.52,4.88,18.85,15.56,41.32,11.12,0,0,0,1
11.44,7.61,18.04,11.76,7.0,17.15,5.04,16.23,15.09,41.58,11.12,0,0,0,1
11.39,7.7,18.19,11.86,7.03,17.22,4.96,16.71,15.15,41.05,10.91,0,0,0,1
12.04,6.94,16.51,10.05,6.64,15.65,5.11,15.44,15.22,39.55,11.43,0,0,0,1
11.39,7.49,17.81,12.05,6.94,15.71,4.78,17.67,14.83,39.06,10.65,0,0,0,1
11.85,7.55,18.67,12.44,7.09,15.71,4.84,18.45,15.42,41.32,11.08,0,0,0,1
11.39,7.08,16.51,10.57,6.64,16.65,4.98,16.78,14.83,39.79,10.91,0,0,0,1
11.48,7.76,18.43,12.14,7.11,17.01,4.92,17.44,15.35,41.05,10.99,0,0,0,1
14.94,14.24,12.53,18.12,10.84,22.96,8.87,9.53,13.32,42.38,12.92,1,0,0,0
12.23,6.94,17.96,9.89,6.67,14.36,5.36,16.09,15.98,42.94,11.66,0,0,1,0
12.08,6.97,17.66,9.89,6.72,14.77,5.3,16.23,15.84,43.22,11.34,0,0,1,0
12.04,7.05,17.0,10.01,6.78,15.45,5.21,15.56,15.49,41.84,11.04,0,0,0,1
12.08,7.49,17.21,11.26,6.92,17.3,5.13,15.56,15.09,40.8,11.17,0,0,0,1
13.45,7.73,15.14,11.9,6.78,16.86,6.23,12.06,14.83,42.66,11.94,0,1,0,0
12.98,7.25,15.77,10.95,6.59,15.84,5.89,13.11,15.02,44.07,11.71,0,1,0,0
11.04,7.31,17.96,11.58,6.67,16.51,4.64,17.07,14.96,39.79,10.49,0,0,0,1
11.89,8.01,18.43,12.54,7.09,15.02,4.82,19.02,15.35,41.32,11.3,0,0,0,1
11.71,7.46,17.14,11.17,6.92,17.22,5.15,15.37,15.02,41.32,11.39,0,0,0,1
14.94,16.23,9.75,18.69,12.8,25.13,11.02,9.02,13.26,42.66,12.18,1,0,0,0
14.23,9.71,14.01,14.58,7.62,20.13,7.04,10.39,13.96,43.22,12.37,0,1,0,0
12.18,7.11,16.51,10.2,6.75,15.97,5.17,17.07,15.29,41.32,11.39,0,0,0,1
11.48,7.76,18.11,12.49,7.2,15.78,4.92,17.89,15.02,40.04,11.21,0,0,0,1
10.66,6.58,17.58,11.17,6.14,14.59,4.16,17.36,14.57,37.67,9.97,0,0,0,1
13.61,8.2,14.83,12.64,6.92,17.52,6.48,11.41,14.63,42.38,11.94,0,1,0,0
11.89,7.67,18.51,12.54,7.11,15.39,4.86,18.85,15.49,41.84,11.04,0,0,0,1
12.57,6.91,17.51,9.97,6.67,14.18,5.43,15.89,15.63,44.37,11.99,0,0,1,0
11.89,8.01,18.43,12.59,7.09,15.08,4.84,19.02,15.35,41.58,11.21,0,0,0,1
13.4,7.7,15.2,11.86,6.75,16.72,6.2,12.06,14.83,43.22,12.18,0,1,0,0
11.35,7.43,17.51,11.35,6.86,17.08,5.04,15.83,14.96,39.79,11.66,0,0,0,1
11.13,7.46,17.88,12.05,7.0,15.65,4.76,17.29,14.89,38.83,11.04,0,0,0,1
14.87,13.9,12.63,17.88,10.59,22.64,8.63,9.53,13.26,43.5,12.57,1,0,0,0
13.45,14.07,9.45,16.61,10.63,22.13,9.12,8.31,16.27,38.59,11.26,1,0,0,0
14.34,11.77,13.41,16.54,9.13,21.93,7.74,9.83,13.49,43.5,12.57,1,0,0,0
12.67,7.05,16.79,10.24,6.61,14.59,5.57,14.81,15.15,42.94,11.85,0,1,0,0
11.66,7.82,18.51,12.29,7.17,16.86,4.92,17.22,15.29,45.57,11.57,0,0,0,1
12.77,7.25,15.9,10.78,6.56,15.52,5.77,13.22,15.02,42.66,12.42,0,1,0,0
13.56,8.07,14.83,12.44,6.83,17.3,6.46,11.5,14.51,40.8,12.13,0,1,0,0
11.66,7.73,18.43,12.44,7.14,16.11,4.92,17.82,15.29,40.8,11.34,0,0,0,1
12.47,7.55,13.25,12.39,6.12,17.22,5.77,9.95,13.21,38.83,10.78,0,1,0,0
12.77,7.08,16.72,10.37,6.64,14.65,5.66,15.12,15.22,44.96,12.57,0,1,0,0
11.39,7.52,17.73,11.49,6.94,17.15,5.04,16.09,15.02,44.66,11.04,0,0,0,1
11.66,7.73,18.35,12.44,7.14,15.97,4.92,17.74,15.29,40.8,10.82,0,0,0,1
12.62,6.91,17.43,9.97,6.64,14.13,5.41,16.02,15.63,43.5,12.08,0,0,1,0
12.28,7.14,16.79,10.16,6.83,15.78,5.26,16.23,15.49,41.84,11.43,0,0,0,1
10.49,6.97,17.58,11.22,6.3,15.52,4.33,16.5,14.51,37.44,10.57,0,0,0,1
10.91,6.74,17.88,11.35,6.27,14.59,4.29,17.74,14.7,38.12,10.25,0,0,0,1
11.53,7.43,17.58,11.39,6.86,17.08,5.04,15.83,15.09,40.54,10.99,0,0,0,1
12.47,6.94,17.29,10.08,6.67,14.36,5.48,15.37,15.56,42.94,11.89,0,0,1,0
12.82,7.19,16.58,10.41,6.64,14.83,5.66,14.39,15.22,42.38,11.66,0,1,0,0
10.87,6.77,17.73,11.3,6.25,14.59,4.26,17.44,14.7,38.83,10.09,0,0,0,1
12.42,6.94,17.14,10.05,6.64,14.42,5.48,15.18,15.35,46.19,12.03,0,0,1,0
11.39,6.88,16.37,10.32,6.43,16.31,4.8,14.75,14.63,38.83,10.25,0,0,0,1
12.42,6.94,17.58,9.97,6.7,14.42,5.41,15.69,16.12,41.58,11.66,0,0,1,0
11.3,7.58,18.04,11.72,6.92,16.93,4.86,16.78,15.15,40.29,11.48,0,0,0,1
11.89,6.83,16.37,9.85,6.51,15.45,5.0,15.18,15.15,41.05,11.04,0,0,0,1
10.7,6.66,17.66,11.13,6.12,14.42,4.18,17.29,14.63,37.22,10.17,0,0,0,1
11.75,7.76,18.67,12.49,7.2,16.11,4.94,17.89,15.49,41.32,11.26,0,0,0,1
11.99,7.05,17.14,9.97,6.75,15.26,5.21,15.63,15.49,41.84,11.08,0,0,0,1
11.44,7.55,17.81,11.67,7.0,17.15,5.04,16.23,15.09,42.11,10.74,0,0,0,1
14.75,16.3,9.94,18.52,12.45,24.65,10.85,8.88,15.56,41.32,12.13,1,0,0,0
14.58,12.58,13.04,17.12,9.68,21.63,8.01,9.64,13.26,42.38,12.18,1,0,0,0
11.8,7.55,18.67,12.44,7.09,15.58,4.84,18.45,15.49,40.8,10.74,0,0,0,1
11.44,7.55,17.73,11.49,6.94,17.15,5.06,16.3,15.02,40.54,10.91,0,0,0,1
11.48,7.73,18.19,11.95,7.09,17.15,5.0,16.93,15.22,42.38,11.17,0,0,0,1
15.06,15.64,11.27,18.52,12.06,24.53,10.02,9.16,15.49,48.82,12.77,1,0,0,0
13.13,7.58,15.51,11.3,6.64,16.17,5.98,12.7,14.96,43.22,12.18,0,1,0,0
11.39,7.61,18.11,11.72,7.0,17.15,5.02,16.36,15.09,42.38,11.04,0,0,0,1
11.99,7.02,17.07,9.93,6.72,15.2,5.21,15.44,15.49,44.96,11.71,0,0,0,1
11.71,7.46,18.51,12.34,6.97,15.45,4.78,18.21,15.42,41.58,10.91,0,0,0,1
11.44,7.58,17.88,11.62,7.03,17.22,5.06,16.3,15.09,41.05,11.08,0,0,0,1
13.67,8.27,14.71,12.79,6.94,17.89,6.53,11.5,14.51,43.5,11.75,0,1,0,0
12.77,7.14,16.37,10.53,6.61,14.95,5.7,13.99,15.22,43.22,11.89,0,1,0,0
12.13,7.02,17.43,9.97,6.81,14.95,5.32,16.36,15.91,42.66,11.17,0,0,1,0
12.77,10.18,12.19,14.89,7.86,19.18,6.53,8.88,12.3,38.83,11.04,1,0,0,0
13.08,7.52,15.58,11.17,6.61,16.04,5.96,12.75,14.96,42.38,11.75,0,1,0,0
11.66,7.76,18.19,12.39,7.23,16.31,4.96,17.51,15.09,39.3,11.3,0,0,0,1
11.94,7.08,17.0,9.89,6.7,15.26,5.17,15.56,15.42,40.04,11.17,0,0,0,1
11.3,7.7,18.51,12.29,7.09,16.79,4.88,17.51,15.29,41.05,11.3,0,0,0,1
11.53,7.25,17.21,11.08,6.72,17.01,4.96,15.44,14.83,40.04,11.48,0,0,0,1
11.48,7.14,18.11,12.0,6.7,15.02,4.58,18.21,15.15,39.3,10.82,0,0,0,1
11.3,7.64,18.27,11.95,6.97,16.86,4.84,17.29,15.22,39.06,11.48,0,0,0,1
11.71,7.73,18.35,12.44,7.17,15.97,4.92,18.13,15.22,40.8,11.26,0,0,0,1
14.34,11.77,13.25,16.61,9.06,21.14,7.77,9.72,13.37,42.38,12.47,1,0,0,0
13.78,8.4,14.77,13.0,7.06,18.05,6.61,11.46,14.51,43.5,12.23,0,1,0,0
11.35,7.7,18.04,12.29,7.17,16.24,4.92,17.07,14.89,39.3,10.87,0,0,0,1
12.77,7.25,15.9,10.74,6.56,15.52,5.73,13.27,15.02,42.94,11.85,0,1,0,0
11.57,6.99,16.58,10.45,6.51,16.51,4.86,14.87,14.76,39.55,10.57,0,0,0,1
14.28,10.67,13.63,15.99,8.34,20.49,7.38,9.91,13.6,42.66,12.27,0,1,0,0
11.99,7.43,16.65,10.87,7.0,17.08,5.28,15.89,15.29,41.84,10.57,0,0,0,1
11.3,7.52,18.11,11.81,6.89,16.79,4.76,17.07,15.09,39.3,11.17,0,0,0,1
14.87,16.17,10.5,18.61,12.5,24.42,10.59,8.92,16.34,42.94,12.13,1,0,0,0
12.87,7.11,16.58,10.45,6.64,14.77,5.66,14.63,15.22,40.54,12.37,0,1,0,0
11.94,7.05,17.07,9.93,6.72,15.2,5.21,15.63,15.49,39.06,10.99,0,0,0,1
11.8,7.37,16.65,10.82,6.94,17.01,5.21,15.76,15.22,41.84,10.91,0,0,0,1
11.17,7.76,18.43,12.24,7.14,16.86,4.94,20.15,15.22,40.54,11.21,0,0,0,1
11.8,7.61,18.67,12.54,7.09,15.97,4.86,18.53,15.56,41.05,10.99,0,0,0,1
14.4,11.81,13.3,16.68,9.09,21.24,7.8,9.75,13.43,42.66,12.62,1,0,0,0
11.85,6.77,16.1,9.77,6.43,15.45,4.92,15.31,15.02,40.29,10.7,0,0,0,1
11.39,7.52,17.96,12.1,6.97,15.84,4.78,17.36,14.96,39.55,10.74,0,0,0,1
11.48,7.58,17.88,11.67,7.0,17.22,5.09,16.16,15.15,40.8,10.91,0,0,0,1
12.04,7.14,16.93,10.08,6.78,15.65,5.21,15.56,15.56,41.84,11.12,0,0,0,1
11.44,7.02,16.03,10.24,6.56,16.24,4.96,14.93,14.89,46.19,11.17,0,0,0,1
11.75,7.43,18.51,12.39,6.97,15.58,4.78,18.45,15.42,41.32,11.08,0,0,0,1
13.29,9.48,13.14,14.52,7.35,19.09,6.61,9.64,13.09,40.04,10.99,0,1,0,0
11.39,7.64,18.11,11.9,7.0,17.08,4.98,16.71,15.15,40.8,11.04,0,0,0,1
11.75,7.28,16.37,10.57,6.83,16.72,5.17,15.25,15.22,41.05,10.61,0,0,0,1
11.94,7.49,16.79,11.04,7.09,17.22,5.3,15.96,15.35,43.78,10.87,0,0,0,1
11.35,7.73,18.43,12.29,7.11,16.86,4.9,17.59,15.29,42.11,10.7,0,0,0,1
12.23,7.34,13.2,11.81,5.89,16.65,5.63,10.03,13.09,38.12,10.41,0,1,0,0
14.81,16.17,10.14,18.44,12.5,24.89,10.68,8.78,16.57,40.29,11.99,1,0,0,0
11.48,7.73,18.35,12.1,7.06,16.86,4.9,19.71,15.22,41.32,10.61,0,0,0,1
11.48,7.58,17.81,11.58,6.97,17.22,5.09,16.09,15.15,42.94,11.08,0,0,0,1
11.39,7.58,17.88,11.67,7.0,17.15,5.04,16.5,15.09,40.8,10.78,0,0,0,1
11.89,7.7,18.75,12.49,7.2,15.91,4.88,18.77,15.56,40.8,11.48,0,0,0,1
11.99,7.7,18.59,12.64,7.11,15.52,4.9,18.94,15.56,42.94,11.26,0,0,0,1
11.39,7.49,17.88,12.05,6.94,15.71,4.76,17.44,14.89,39.06,10.74,0,0,0,1
12.52,7.19,16.72,10.24,6.89,15.97,5.28,17.14,15.49,42.11,11.48,0,0,0,1
13.94,9.75,13.63,15.01,7.65,19.6,6.96,9.95,13.6,47.81,12.18,0,1,0,0
10.49,6.83,17.43,11.35,6.27,14.65,4.29,17.14,14.51,38.12,10.29,0,0,0,1
13.45,7.79,15.14,12.1,6.78,16.93,6.28,12.06,14.7,43.22,12.32,0,1,0,0
12.13,7.05,17.0,10.01,6.78,15.45,5.21,15.37,15.49,42.66,11.3,0,0,0,1
11.35,7.49,17.88,11.58,6.92,17.01,4.98,16.5,15.02,40.54,10.7,0,0,0,1
11.44,7.58,17.81,11.58,7.0,17.22,5.06,16.09,15.09,41.32,10.95,0,0,0,1
13.5,7.82,15.14,12.19,6.81,17.01,6.28,12.11,14.76,40.8,11.75,0,1,0,0
14.34,10.67,13.57,15.92,8.34,20.49,7.47,9.99,13.54,42.66,12.57,0,1,0,0
11.75,7.88,18.51,12.54,7.06,15.2,4.78,18.69,15.35,41.84,11.26,0,0,0,1
14.11,9.45,14.01,14.46,7.55,20.04,6.93,10.34,13.96,42.66,12.47,0,1,0,0
11.66,7.76,18.11,12.39,7.2,16.31,4.94,17.44,15.02,40.04,11.3,0,0,0,1
11.89,7.55,18.67,12.44,7.09,15.58,4.84,19.36,15.49,40.54,11.17,0,0,0,1
14.23,10.62,13.63,15.78,8.18,20.31,7.32,9.99,13.6,42.94,12.08,0,1,0,0
11.85,7.58,18.67,12.49,7.09,15.84,4.86,18.21,15.56,41.32,11.12,0,0,0,1
13.78,8.7,14.53,13.32,7.11,18.2,6.72,11.01,14.2,44.37,12.32,0,1,0,0
11.39,7.61,17.96,11.86,7.09,17.15,5.04,16.43,15.09,40.04,11.04,0,0,0,1
11.85,7.58,18.67,12.39,7.06,15.71,4.84,18.37,15.49,41.58,10.95,0,0,0,1
11.66,7.73,18.11,12.34,7.23,16.24,4.92,17.51,15.02,40.04,11.3,0,0,0,1
11.21,7.49,17.29,11.26,6.94,17.3,5.13,15.44,15.09,40.29,10.82,0,0,0,1
11.39,7.64,18.04,11.86,7.03,17.08,5.0,16.5,15.15,40.8,10.91,0,0,0,1
11.48,7.73,18.35,12.39,7.2,16.51,4.92,17.59,15.15,39.79,11.34,0,0,0,1
11.44,7.52,17.81,11.58,6.94,17.15,5.04,16.16,15.09,41.84,10.95,0,0,0,1
12.08,6.83,17.51,9.81,6.64,14.42,5.3,15.83,15.63,46.19,11.94,0,0,1,0
11.89,7.05,16.86,9.89,6.67,15.33,5.15,15.5,15.35,42.11,10.95,0,0,0,1
11.39,7.55,17.73,11.49,6.94,17.15,5.06,16.23,15.02,42.11,11.04,0,0,0,1
14.94,14.65,12.43,18.2,11.1,23.18,8.98,9.42,13.37,43.78,12.98,1,0,0,0
11.44,7.85,18.51,12.34,7.2,16.86,4.96,17.51,15.35,40.29,11.04,0,0,0,1
12.28,7.28,16.44,10.41,6.81,16.38,5.17,15.83,15.29,41.84,11.3,0,0,0,1
11.75,7.58,18.67,12.44,7.06,15.91,4.84,18.37,15.56,40.8,10.99,0,0,0,1
11.99,7.58,18.67,12.54,7.14,15.71,4.88,18.61,15.56,40.8,11.3,0,0,0,1
12.08,7.31,16.37,10.49,6.83,16.58,5.17,15.44,15.22,41.58,11.08,0,0,0,1
14.81,16.17,9.75,18.61,12.75,25.01,10.89,9.02,13.15,40.04,11.62,1,0,0,0
14.28,10.38,13.85,15.65,8.11,20.22,7.29,10.67,13.78,43.5,12.62,0,1,0,0
11.8,7.64,18.59,12.34,7.06,15.91,4.84,18.69,15.42,41.05,11.17,0,0,0,1
11.13,5.94,15.71,8.76,5.55,13.14,4.72,13.99,14.26,39.06,10.7,0,0,1,0
15.12,15.9,11.31,18.69,12.11,24.18,10.14,9.2,15.42,43.78,13.13,1,0,0,0
11.3,7.7,17.96,12.29,7.17,16.31,4.92,17.22,14.89,39.79,10.65,0,0,0,1
12.77,7.82,13.57,12.54,6.32,17.44,5.89,10.1,13.43,37.9,11.39,0,1,0,0
14.46,11.63,13.36,16.54,9.02,21.14,7.71,9.72,13.49,44.37,11.85,1,0,0,0
11.35,7.7,18.11,12.34,7.17,16.24,4.92,17.22,15.02,40.8,10.65,0,0,0,1
12.32,7.55,17.36,11.39,7.0,17.37,5.17,15.63,15.15,40.8,10.7,0,0,0,1
14.52,12.05,13.25,16.97,9.46,21.63,7.92,9.64,13.49,42.11,12.13,1,0,0,0
10.91,7.28,17.73,11.44,6.53,16.44,4.58,16.5,14.76,39.06,10.29,0,0,0,1
11.94,6.99,17.07,9.89,6.7,15.2,5.19,15.56,15.49,45.57,11.04,0,0,0,1
11.99,7.7,18.67,12.64,7.14,15.58,4.9,19.1,15.56,40.8,11.17,0,0,0,1
11.53,7.76,18.43,12.19,7.11,16.93,4.94,20.15,15.29,41.58,10.87,0,0,0,1
12.47,6.97,17.36,10.05,6.7,14.3,5.48,15.5,15.56,42.94,12.08,0,0,1,0
11.99,7.11,16.93,10.01,6.72,15.45,5.19,15.56,15.42,41.84,11.39,0,0,0,1
12.04,6.83,17.51,9.77,6.61,14.47,5.28,15.76,15.7,42.66,11.71,0,0,1,0
13.45,7.76,15.2,11.95,6.78,16.79,6.23,11.92,14.83,42.94,11.71,0,1,0,0
12.72,7.11,16.1,10.57,6.53,14.89,5.68,13.71,15.15,42.38,12.08,0,1,0,0
12.04,7.37,16.72,10.87,6.92,17.08,5.19,15.25,15.22,42.66,11.17,0,0,0,1
14.11,11.05,13.46,16.12,8.51,20.67,7.47,9.91,13.49,43.22,12.57,1,0,0,0
10.91,7.61,18.27,12.0,7.0,16.65,4.84,20.15,15.09,40.29,10.57,0,0,0,1
12.08,7.02,17.43,9.93,6.81,14.95,5.32,16.3,15.84,42.66,11.43,0,0,1,0
12.08,6.83,17.51,9.81,6.64,14.47,5.28,15.89,15.7,41.58,11.62,0,0,1,0
14.4,10.75,13.63,16.05,8.41,20.77,7.47,10.3,13.54,44.66,12.42,1,0,0,0
11.89,7.05,16.93,9.89,6.67,15.33,5.15,15.5,15.35,41.84,10.95,0,0,0,1
11.44,7.64,18.04,11.9,7.06,17.15,5.02,16.5,15.15,40.54,10.95,0,0,0,1
11.99,7.46,17.14,11.17,6.89,17.22,5.11,15.37,15.02,41.84,11.17,0,0,0,1
11.99,7.52,16.79,11.0,7.11,17.22,5.32,15.96,15.42,41.58,11.08,0,0,0,1
11.53,7.22,18.27,12.1,6.78,15.08,4.64,18.45,15.22,41.58,10.61,0,0,0,1
