MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
11.44,7.7,18.11,11.95,7.06,17.15,5.02,16.71,15.15,41.84,10.95,4
12.08,6.83,17.51,9.81,6.64,14.42,5.28,15.63,15.63,44.96,11.71,3
11.48,7.05,16.24,10.37,6.61,16.44,5.0,15.63,14.96,40.04,10.33,4
11.53,7.02,16.58,10.57,6.53,16.58,4.88,14.87,14.83,39.06,10.53,4
11.39,7.82,18.51,12.24,7.14,16.79,4.9,17.51,15.35,40.8,11.12,4
11.57,7.52,17.66,11.49,6.97,17.22,5.09,15.89,15.02,40.54,10.95,4
14.0,8.94,14.18,14.11,7.26,19.51,6.74,10.67,14.14,42.94,11.71,2
11.39,7.88,18.59,12.34,7.2,16.86,4.96,17.36,15.35,40.04,11.66,4
10.66,6.94,17.21,11.22,6.04,13.51,4.11,17.67,14.32,37.67,10.09,4
14.28,9.86,13.96,15.01,7.74,20.22,7.1,10.26,13.84,42.66,12.57,2
11.94,7.49,17.14,11.22,6.92,17.22,5.13,16.78,15.02,41.05,11.08,4
15.0,14.95,12.09,18.36,11.37,23.29,9.23,9.24,13.32,42.94,13.13,1
12.52,6.97,17.21,10.12,6.61,14.59,5.48,15.5,15.29,42.38,11.94,2
12.67,7.08,16.24,10.53,6.56,15.02,5.68,13.82,15.09,42.66,11.94,2
11.94,7.02,17.14,9.89,6.7,15.14,5.17,15.56,15.49,41.32,11.12,4
11.3,7.7,18.04,12.29,7.14,16.17,4.9,17.44,14.96,38.83,11.12,4
12.18,7.08,17.51,10.05,6.86,15.02,5.39,16.3,15.91,42.11,11.52,3
11.04,7.64,18.27,12.1,7.0,16.65,4.84,20.06,15.15,40.54,10.78,4
10.57,6.85,17.36,11.26,6.07,13.62,4.09,17.89,14.44,37.67,10.17,4
15.0,15.39,11.44,18.36,11.68,23.62,9.67,8.95,15.29,42.94,12.57,1
11.39,7.67,18.11,11.95,7.03,17.08,5.0,17.0,15.09,40.8,11.04,4
12.28,7.31,17.14,10.24,6.97,15.84,5.34,15.69,15.63,41.84,11.62,4
12.18,6.88,17.88,9.85,6.67,14.36,5.36,16.09,15.91,42.94,11.71,3
11.39,7.73,18.11,12.34,7.17,16.38,4.92,17.29,15.02,39.3,10.7,4
14.94,13.63,12.83,17.73,10.31,22.33,8.4,9.53,13.32,43.78,12.08,1
13.13,7.52,15.45,11.35,6.64,16.11,6.01,12.7,14.96,42.66,12.42,2
11.8,7.25,16.51,10.61,6.83,16.79,5.15,15.69,15.09,38.59,11.08,4
11.0,7.28,17.96,11.53,6.67,16.51,4.64,17.14,15.02,39.79,10.53,4
11.04,7.46,18.04,11.67,6.86,16.79,4.88,16.43,14.96,40.29,10.91,4
11.17,7.79,18.51,12.29,7.14,16.86,4.92,17.44,15.29,40.04,10.99,4
11.71,7.25,16.44,10.57,6.83,16.72,5.17,15.31,15.15,41.32,10.57,4
11.66,7.76,18.11,12.39,7.17,15.78,4.92,17.51,15.02,38.83,11.04,4
11.62,7.7,18.75,12.64,7.17,15.58,4.9,18.94,15.56,42.11,11.21,4
11.35,7.61,17.96,11.76,7.03,17.15,5.02,16.36,15.09,40.8,10.95,4
12.08,6.83,17.51,9.81,6.67,14.47,5.28,15.83,15.7,42.66,11.85,3
12.08,7.02,17.51,9.97,6.81,14.95,5.32,16.23,15.91,42.66,11.39,4
11.99,7.52,18.59,12.49,7.09,15.71,4.86,18.69,15.56,41.32,11.3,4
11.57,7.46,17.51,11.35,6.92,17.3,5.09,15.76,15.09,40.8,10.87,4
12.18,7.11,17.58,10.05,6.89,15.08,5.39,16.23,15.84,44.07,11.99,3
12.08,6.88,17.51,9.81,6.67,14.53,5.28,15.83,15.84,42.66,11.85,3
11.62,7.31,17.0,10.91,6.81,17.08,5.09,15.12,15.09,41.32,11.04,4
14.81,13.52,12.73,17.73,10.31,23.29,8.63,9.57,13.26,42.94,12.52,1
13.78,8.67,14.47,13.43,7.17,18.68,6.72,10.93,14.2,42.66,12.18,2
11.66,7.76,18.59,12.49,7.26,16.11,4.94,17.97,15.42,41.32,11.39,4
11.99,7.08,16.86,10.05,6.72,15.52,5.19,15.56,15.56,41.32,11.43,4
12.08,7.28,16.37,10.45,6.81,16.58,5.17,15.25,15.22,41.84,11.21,4
12.04,7.58,18.67,12.54,7.14,15.91,4.9,18.53,15.63,41.84,11.39,4
14.4,11.45,13.41,16.47,8.88,21.05,7.65,9.87,13.49,45.57,12.13,1
13.78,8.63,14.53,13.32,7.11,18.28,6.72,10.8,14.2,42.66,12.52,2
11.66,7.67,18.67,12.39,7.09,15.97,4.86,18.61,15.49,41.32,11.3,4
11.8,7.55,18.59,12.44,7.06,15.52,4.82,18.21,15.49,40.54,11.17,4
12.42,7.43,17.29,10.32,7.03,15.78,5.43,16.09,15.77,43.22,11.48,4
11.8,7.52,18.67,12.34,7.0,15.65,4.78,18.21,15.42,40.04,10.82,4
11.48,7.64,18.11,11.86,7.0,17.08,4.92,16.78,15.15,41.05,10.87,4
11.44,7.73,18.43,12.1,7.09,17.01,4.92,17.14,15.29,40.29,11.26,4
12.23,6.88,17.58,9.89,6.64,14.3,5.36,15.96,15.98,45.57,12.03,3
15.18,16.17,11.22,19.11,12.3,24.42,10.34,9.27,15.42,43.78,13.24,1
11.89,7.67,18.75,12.49,7.14,15.84,4.86,18.37,15.56,42.11,10.99,4
11.21,7.52,18.11,12.14,6.97,15.78,4.78,17.44,15.09,39.55,10.87,4
12.37,7.19,16.65,10.24,6.86,15.97,5.26,15.56,15.56,42.38,11.34,4
12.37,7.4,17.36,10.32,7.0,15.78,5.41,15.83,15.7,43.22,11.62,4
14.23,10.5,13.63,15.78,8.18,20.31,7.29,10.03,13.6,42.66,12.03,2
11.48,7.76,18.43,12.1,7.11,17.08,4.92,17.07,15.29,40.54,10.7,4
14.11,9.12,14.18,14.34,7.41,19.69,6.88,10.51,14.26,44.37,12.23,2
11.62,7.64,18.11,12.24,7.11,15.71,4.86,17.67,15.09,39.79,11.12,4
11.85,7.58,18.51,12.29,7.03,15.78,4.8,18.53,15.42,40.8,10.99,4
14.87,14.13,12.58,18.04,10.8,22.86,8.8,9.42,13.32,43.78,11.94,1
14.64,13.25,12.94,17.42,10.11,22.13,8.24,9.72,13.37,43.78,12.72,1
11.99,8.07,18.43,12.54,7.06,15.14,4.82,19.27,15.42,41.58,10.99,4
11.57,7.46,17.51,11.3,6.89,17.3,5.09,15.76,15.02,41.05,10.95,4
13.5,7.85,15.01,12.19,6.81,17.01,6.33,12.01,14.7,42.11,11.99,2
11.94,7.43,17.07,11.04,6.92,17.22,5.15,15.44,15.15,41.32,11.17,4
12.13,6.91,17.58,9.85,6.72,14.59,5.34,16.16,15.84,42.11,11.85,3
15.0,15.58,11.35,18.44,11.78,24.18,9.79,8.92,15.22,41.84,12.42,1
11.62,7.76,18.19,12.39,7.2,16.31,4.94,17.67,15.09,37.67,10.95,4
14.28,10.67,13.63,15.85,8.24,20.31,7.35,9.95,13.6,41.32,12.32,2
11.39,7.64,18.04,11.9,7.06,17.15,5.02,16.78,15.09,40.54,10.49,4
11.44,7.61,17.88,11.58,6.97,17.22,5.06,16.16,15.15,40.8,11.17,4
11.75,7.49,17.07,11.17,6.94,17.22,5.15,15.31,15.02,44.66,11.26,4
11.26,7.49,18.11,11.67,6.83,16.86,4.76,17.36,15.09,40.29,10.61,4
14.06,8.98,14.18,14.22,7.29,19.43,6.88,10.39,14.26,42.11,11.94,2
12.72,7.08,16.93,10.28,6.67,14.71,5.59,14.81,15.29,42.38,12.32,2
11.94,7.05,17.21,9.93,6.72,15.2,5.19,15.63,15.56,42.38,10.95,4
12.08,6.88,17.58,9.81,6.7,14.59,5.28,16.09,15.84,44.07,11.75,3
13.94,8.67,14.47,13.38,7.14,18.36,6.74,10.89,14.2,42.66,12.52,2
11.39,7.61,17.96,11.81,7.03,17.15,5.02,16.36,15.09,40.8,11.08,4
12.28,6.94,17.88,9.93,6.75,14.47,5.41,17.59,15.84,42.94,11.94,3
12.08,6.88,17.58,9.85,6.7,14.59,5.3,16.57,15.77,43.22,11.99,3
12.77,7.16,16.37,10.57,6.64,15.02,5.73,14.05,15.22,42.38,12.42,2
11.71,6.77,17.07,9.62,6.53,14.77,5.11,16.02,15.42,41.32,11.8,4
11.57,7.46,18.43,12.24,6.86,15.45,4.72,18.13,15.29,40.54,11.17,4
11.85,7.55,18.67,12.44,7.09,15.84,4.84,18.53,15.49,40.8,10.91,4
11.85,7.55,18.67,12.44,7.06,15.65,4.84,18.37,15.49,41.58,11.48,4
11.71,7.46,17.07,11.08,6.92,17.22,5.15,15.25,15.09,40.54,11.21,4
11.39,6.88,16.37,10.32,6.4,16.31,4.8,14.75,14.63,39.06,10.61,4
11.57,8.07,18.43,12.69,7.14,15.08,4.86,18.94,15.42,41.58,11.39,4
11.39,7.67,17.96,11.9,7.03,17.01,4.98,16.93,15.02,40.8,10.87,4
14.69,12.89,12.99,17.34,9.95,22.86,8.17,9.45,13.32,43.78,12.18,1
12.37,7.16,16.72,10.24,6.83,15.97,5.23,15.44,15.49,42.38,11.26,4
11.17,7.46,18.27,11.72,6.81,16.65,4.74,17.36,15.09,39.79,10.57,4
11.04,7.19,17.43,11.22,6.61,16.58,4.8,15.83,14.76,40.8,10.99,4
12.18,6.91,17.43,9.81,6.7,14.53,5.3,15.96,15.77,42.38,11.85,3
14.94,14.47,12.43,18.12,11.02,23.18,8.98,9.42,13.32,43.78,12.92,1
11.57,6.63,16.93,9.47,6.38,14.53,4.98,15.18,15.22,41.58,10.99,4
11.39,6.97,16.93,10.74,6.45,16.51,4.78,15.37,14.63,40.54,10.65,4
14.69,13.04,12.94,17.34,9.95,22.03,8.2,9.49,13.32,43.78,12.03,1
11.53,7.76,18.43,12.19,7.14,17.01,4.94,17.36,15.35,40.8,10.91,4
12.87,8.98,12.88,13.99,6.92,18.44,6.23,9.53,12.82,37.9,11.26,2
11.21,7.64,18.19,12.05,7.0,16.65,4.84,19.97,15.09,40.04,11.34,4
12.18,6.91,17.73,9.85,6.67,14.36,5.36,16.09,15.91,42.94,11.75,3
14.94,13.57,12.68,17.73,10.43,23.18,8.43,9.45,13.26,42.94,12.47,1
12.08,6.99,17.51,9.93,6.78,14.89,5.3,16.16,15.84,42.66,11.39,3
11.21,7.37,17.58,11.39,6.81,16.93,4.94,16.23,14.96,41.05,10.37,4
12.18,6.91,17.88,9.89,6.7,14.42,5.36,16.57,15.84,43.78,11.8,3
12.32,7.19,16.79,10.2,6.86,15.84,5.28,15.63,15.56,41.05,11.26,4
11.71,7.22,16.44,10.57,6.81,16.72,5.15,15.5,15.09,40.29,11.62,4
12.32,7.52,17.36,11.35,6.94,17.3,5.15,15.5,15.15,42.11,11.17,4
14.81,16.3,10.02,18.52,12.55,24.65,10.85,8.92,13.09,42.38,12.32,1
12.77,7.08,15.9,10.61,6.53,15.33,5.7,13.44,15.09,42.38,11.08,2
15.06,16.17,10.46,18.44,12.35,24.07,10.59,8.99,16.2,42.38,12.87,1
12.04,7.22,16.3,10.37,6.75,16.44,5.13,15.56,15.22,41.32,10.49,4
13.5,7.88,15.01,12.29,6.83,17.08,6.33,11.92,14.7,41.58,11.8,2
11.89,7.64,18.83,12.49,7.11,15.84,4.86,18.29,15.49,41.84,11.52,4
12.28,7.55,17.29,11.35,6.97,17.37,5.15,15.56,15.09,39.79,11.34,4
10.87,7.16,17.66,11.26,6.51,16.31,4.54,16.71,14.83,40.04,10.13,4
11.44,7.76,18.59,12.19,7.11,16.86,4.94,17.74,15.29,39.06,11.48,4
13.56,8.2,14.65,12.69,6.86,17.59,6.43,11.41,14.51,41.58,11.26,2
11.17,7.49,17.96,12.1,6.97,15.71,4.78,17.36,14.89,39.3,10.87,4
14.34,10.58,13.85,15.78,8.24,20.49,7.35,10.06,13.78,43.5,12.67,2
15.12,13.2,12.78,17.5,10.15,22.13,8.27,9.45,13.32,47.48,12.57,1
11.99,7.73,18.59,12.54,7.09,15.52,4.86,19.27,15.49,41.58,11.34,4
12.04,7.7,18.59,12.59,7.14,15.52,4.9,18.85,15.49,40.8,11.43,4
12.04,7.73,18.43,12.59,7.14,15.33,4.88,19.02,15.42,41.32,11.39,4
11.21,7.82,18.51,12.29,7.17,16.93,4.96,20.24,15.29,40.8,11.3,4
12.37,7.19,16.86,10.2,6.89,15.78,5.26,15.69,15.56,41.84,11.26,4
12.08,6.91,17.58,9.85,6.7,14.59,5.3,16.64,15.84,43.78,11.85,3
11.99,7.02,16.93,9.93,6.72,15.33,5.17,15.31,15.42,41.58,11.34,4
11.44,7.85,18.51,12.34,7.2,16.93,4.96,17.29,15.35,41.32,11.66,4
12.28,6.94,17.58,9.93,6.7,14.42,5.39,15.89,15.98,43.22,11.85,3
13.03,7.37,15.71,11.04,6.61,15.91,5.91,12.91,14.96,41.84,12.18,2
11.04,7.34,18.04,11.81,6.51,14.36,4.43,18.29,14.96,39.55,10.37,4
12.82,7.08,16.72,10.41,6.64,14.71,5.63,14.39,15.29,44.07,12.27,2
11.99,6.77,17.43,9.73,6.59,14.42,5.28,15.56,15.63,42.38,11.57,3
11.57,7.73,18.27,12.34,7.17,16.58,4.9,17.36,15.09,38.83,11.48,4
11.94,7.05,16.93,9.97,6.72,15.45,5.17,15.37,15.42,42.11,10.91,4
11.75,6.8,16.37,9.85,6.43,15.2,4.92,15.76,15.02,38.83,11.04,4
12.32,7.22,16.44,10.37,6.83,16.24,5.19,15.89,15.29,41.05,11.43,4
12.08,7.34,13.2,12.0,5.89,16.65,5.59,10.03,13.09,38.59,10.7,2
14.75,12.83,13.14,17.34,9.83,21.83,8.14,9.64,13.32,42.11,12.77,1
11.53,7.76,18.43,12.14,7.09,16.86,4.92,19.44,15.29,39.79,11.12,4
11.39,7.67,18.11,11.9,7.06,17.08,5.02,16.64,15.09,41.05,10.74,4
11.94,6.99,17.21,9.89,6.7,15.14,5.21,15.63,15.56,41.84,10.74,4
12.08,6.94,17.43,9.89,6.72,14.71,5.32,16.57,15.77,41.58,11.43,3
11.94,6.97,17.21,9.85,6.7,15.08,5.19,15.5,15.56,42.94,10.57,4
11.99,7.02,17.29,9.85,6.7,15.14,5.21,15.69,15.7,42.38,11.3,4
12.23,7.19,16.44,10.37,6.81,16.17,5.17,15.96,15.29,41.32,11.39,4
15.0,12.73,12.99,17.27,9.8,22.96,8.08,9.6,13.49,43.78,12.23,1
15.06,15.07,11.86,18.44,11.59,23.96,9.52,9.02,13.26,42.38,13.61,1
12.42,7.37,17.36,10.37,7.09,15.91,5.45,16.36,15.84,42.94,11.85,4
11.8,7.52,17.66,11.49,6.94,17.22,5.11,15.96,15.09,41.05,11.12,4
14.94,16.3,9.71,18.77,13.0,25.25,10.89,9.09,13.37,41.05,12.03,1
11.75,7.76,18.51,12.49,7.2,16.11,4.94,17.89,15.49,40.8,11.43,4
11.85,7.49,18.59,12.44,7.06,15.78,4.82,18.45,15.49,41.58,11.34,4
12.08,7.76,18.83,12.59,7.2,15.97,4.94,18.53,15.63,42.11,11.57,4
12.08,6.97,17.58,9.93,6.75,14.77,5.3,16.36,15.84,47.48,11.34,3
13.56,7.82,15.2,12.19,6.81,16.93,6.3,12.25,14.63,42.38,12.23,2
11.39,6.55,17.0,9.32,6.27,14.36,4.92,15.76,15.15,38.83,10.57,4
14.11,9.26,14.18,14.58,7.46,19.51,6.93,10.76,14.08,42.66,12.37,2
12.72,7.11,15.97,10.61,6.53,15.33,5.7,13.38,15.09,42.66,11.85,2
14.64,12.83,13.09,17.34,9.87,21.73,8.14,9.64,13.37,43.22,12.67,1
13.13,7.52,15.45,11.3,6.64,16.04,6.01,12.7,14.96,42.94,11.66,2
11.39,7.64,17.96,11.86,7.03,17.15,5.02,16.57,15.09,39.79,11.12,4
11.57,7.73,18.11,12.34,7.2,16.31,4.94,17.29,15.02,39.3,10.99,4
12.77,10.26,12.19,14.82,7.83,19.18,6.53,9.09,12.35,36.78,10.82,1
11.39,7.46,17.88,12.05,6.94,15.78,4.78,17.36,14.89,39.06,10.29,4
12.18,7.08,16.58,10.12,6.72,15.91,5.17,15.96,15.35,41.58,11.12,4
11.26,7.64,18.43,12.19,7.03,16.65,4.84,17.51,15.22,40.04,10.78,4
11.99,7.02,17.14,9.89,6.7,15.2,5.19,15.69,15.49,41.84,11.17,4
12.32,7.19,16.86,10.24,6.89,15.91,5.28,15.63,15.56,41.32,11.21,4
11.85,7.46,17.51,11.3,6.92,17.3,5.09,15.69,15.02,40.54,11.12,4
11.99,8.17,18.51,12.59,7.11,15.14,4.86,19.27,15.42,41.58,11.26,4
14.94,15.39,11.49,18.36,11.64,23.51,9.67,9.02,14.76,41.84,12.23,1
12.04,7.05,17.21,9.93,6.75,15.2,5.23,15.63,15.56,42.66,11.17,4
14.23,12.58,12.43,16.9,9.57,21.43,7.89,9.16,12.93,42.38,11.89,1
12.77,7.11,16.79,10.37,6.64,14.65,5.63,14.63,15.29,43.78,12.32,2
11.99,8.14,18.59,12.59,7.11,15.84,4.86,19.02,15.49,41.58,11.34,4
11.85,7.43,17.43,11.44,6.89,17.22,5.09,15.69,15.02,40.8,11.08,4
11.08,5.89,15.64,8.76,5.53,13.14,4.68,13.93,14.2,38.59,10.91,3
11.57,7.73,18.35,11.95,7.06,17.15,4.96,17.0,15.29,41.05,10.95,4
10.66,6.58,17.66,11.04,6.07,14.36,4.15,17.36,14.51,37.67,10.21,4
13.18,7.52,15.39,11.44,6.67,16.38,6.03,12.6,14.89,43.22,12.18,2
15.0,15.9,11.09,18.61,12.15,24.3,10.18,9.16,15.35,43.5,12.98,1
12.37,7.31,16.44,10.41,6.81,16.38,5.17,15.76,15.22,41.32,10.53,4
12.72,7.11,15.97,10.57,6.53,14.65,5.7,13.65,15.15,41.84,12.27,2
11.35,7.61,18.04,11.81,7.0,17.01,5.0,16.43,15.09,39.3,10.99,4
12.57,7.49,17.29,11.39,6.92,17.3,5.13,15.44,15.09,40.29,11.43,4
13.4,7.76,15.14,11.95,6.75,16.86,6.25,11.82,14.76,43.22,12.03,2
12.18,7.11,16.44,10.28,6.78,16.04,5.17,16.5,15.29,41.58,11.08,4
11.57,7.49,17.21,11.26,6.92,17.3,5.15,15.31,15.09,41.58,10.87,4
11.75,7.52,18.59,12.39,7.03,15.45,4.82,18.37,15.49,41.05,10.99,4
12.28,6.94,17.96,9.93,6.72,14.47,5.43,16.09,15.98,43.78,11.99,3
13.5,7.95,14.83,12.34,6.81,17.22,6.35,11.78,14.57,43.22,12.18,2
12.42,6.88,17.66,9.85,6.61,14.07,5.36,15.69,15.63,43.78,11.85,3
14.87,15.84,10.92,18.44,12.01,24.07,10.06,9.06,15.42,43.22,12.18,1
15.0,16.03,10.83,18.52,12.2,24.07,10.26,9.02,15.49,42.38,12.52,1
12.18,7.22,16.44,10.41,6.81,16.31,5.19,15.76,15.29,41.58,11.43,4
11.17,6.11,16.58,8.97,5.92,13.41,4.76,15.18,15.02,40.54,10.65,3
12.08,6.99,17.66,9.93,6.75,14.83,5.32,17.97,15.84,42.11,11.26,3
12.08,7.02,16.58,10.08,6.7,15.78,5.13,15.63,15.35,41.32,10.95,4
13.56,11.18,12.63,15.85,8.57,20.22,7.18,9.27,12.72,40.54,11.8,1
14.17,9.19,14.3,14.52,7.46,19.6,6.93,10.72,14.26,44.66,12.13,2
10.45,6.77,17.29,10.74,6.14,15.65,4.29,16.16,14.44,38.59,10.05,4
12.08,6.91,17.36,9.85,6.7,14.65,5.28,16.5,15.7,42.11,11.3,3
13.72,8.4,14.71,13.0,7.03,17.89,6.61,11.37,14.38,42.94,12.18,2
12.72,7.08,16.1,10.49,6.56,14.83,5.68,13.99,15.09,41.05,12.27,2
11.44,7.58,17.81,11.58,6.97,17.15,5.06,16.09,15.09,40.8,11.21,4
12.37,6.88,17.51,9.89,6.61,14.13,5.36,15.69,15.56,43.22,11.85,3
11.39,7.76,18.27,12.0,7.09,17.15,5.0,17.0,15.22,43.22,11.26,4
11.71,7.08,16.79,10.57,6.61,16.65,4.92,14.93,14.89,40.04,10.61,4
13.72,8.67,14.47,13.54,7.14,18.6,6.74,10.89,14.2,42.66,11.94,2
14.17,9.63,14.01,14.4,7.55,20.4,6.99,10.1,13.9,47.81,12.23,2
12.72,7.16,15.97,10.65,6.53,15.39,5.73,13.33,15.09,45.88,11.99,2
11.39,7.61,17.96,11.81,7.0,17.15,5.02,16.93,15.15,43.78,11.04,4
11.62,7.16,16.24,10.49,6.72,16.65,5.09,15.12,15.02,41.05,11.17,4
11.44,7.64,18.04,11.86,7.06,17.22,5.04,16.86,15.09,40.29,10.91,4
12.62,7.02,17.29,10.16,6.67,14.71,5.54,15.69,15.35,44.37,12.03,2
12.13,6.85,17.58,9.85,6.67,14.47,5.34,15.96,15.63,42.94,12.18,3
11.71,7.76,18.43,12.39,7.17,16.72,4.94,17.51,15.29,40.8,11.66,4
11.48,7.7,18.35,12.1,7.06,16.79,4.9,19.79,15.22,40.04,10.61,4
14.46,12.43,13.14,17.12,9.61,21.53,7.98,9.45,13.26,43.5,12.67,1
12.04,6.83,17.51,9.81,6.64,14.47,5.28,15.83,15.7,42.38,11.94,3
11.44,7.58,17.81,11.58,6.97,17.15,5.06,15.96,15.09,41.05,11.04,4
14.69,12.58,13.09,17.19,9.68,21.63,8.01,9.72,13.26,41.58,12.27,1
11.85,6.94,17.14,9.81,6.61,15.02,5.15,15.56,15.49,41.32,11.48,4
14.87,16.44,9.86,18.61,13.0,24.77,10.81,9.06,13.09,42.38,12.37,1
11.89,7.61,18.67,12.49,7.11,15.91,4.86,18.53,15.56,42.11,11.04,4
12.42,7.88,13.04,12.69,6.22,17.37,5.8,9.64,12.99,38.36,10.95,2
12.37,7.52,17.36,11.35,6.94,17.3,5.15,15.56,15.15,41.32,11.08,4
11.21,7.76,18.43,12.19,7.14,16.93,4.94,20.15,15.29,40.29,11.43,4
12.18,7.02,17.58,10.01,6.83,14.89,5.36,17.89,15.91,42.66,11.99,3
14.23,10.79,13.52,16.05,8.44,20.58,7.32,9.95,13.54,44.07,12.08,1
14.11,9.34,14.01,14.28,7.49,19.69,6.93,10.39,13.96,42.94,12.42,2
11.94,7.67,18.75,12.49,7.14,15.91,4.88,18.37,15.56,41.32,11.12,4
11.62,8.07,18.51,12.69,7.17,15.14,4.88,18.85,15.42,42.38,11.3,4
11.99,7.22,16.37,10.41,6.78,16.44,5.15,15.37,15.22,41.32,11.43,4
12.37,7.16,16.51,10.32,6.78,16.17,5.19,15.96,15.29,41.05,11.43,4
11.39,6.5,16.86,9.29,6.25,14.24,4.9,15.69,15.15,40.54,10.74,4
11.44,7.55,17.73,11.49,6.94,17.15,5.11,16.09,15.02,40.8,10.91,4
11.48,7.7,18.27,11.95,7.03,17.15,4.9,17.22,15.29,40.8,10.91,4
11.89,8.01,18.43,12.54,7.03,15.02,4.82,18.85,15.35,42.94,11.39,4
11.48,7.58,17.73,11.62,6.97,17.22,5.09,15.96,15.15,40.29,11.17,4
11.8,7.31,16.37,10.57,6.86,16.72,5.19,15.37,15.22,40.8,11.34,4
11.62,7.46,17.21,11.17,6.92,17.22,5.13,15.56,15.02,40.29,11.62,4
12.67,7.11,16.3,10.45,6.56,14.89,5.63,14.22,15.15,43.22,11.75,2
12.23,7.22,17.14,10.16,6.89,15.58,5.32,18.94,15.56,42.11,11.75,4
12.23,6.91,17.81,9.89,6.72,14.42,5.36,16.71,15.84,42.38,11.85,3
12.98,7.28,15.71,11.04,6.61,15.91,5.89,13.01,15.02,45.26,12.32,2
11.85,7.55,18.59,12.44,7.06,15.58,4.84,18.37,15.42,38.36,11.3,4
12.42,6.94,17.21,10.05,6.64,14.47,5.48,15.25,15.35,41.84,11.89,3
13.94,8.84,14.36,13.6,7.17,18.6,6.77,10.89,14.2,41.84,11.89,2
12.42,7.25,16.79,10.41,6.94,16.24,5.32,15.37,15.63,46.19,11.66,4
12.72,7.11,17.14,10.24,6.7,14.77,5.59,14.93,15.35,43.78,12.32,2
12.04,6.77,17.43,9.77,6.61,14.36,5.28,15.96,15.7,41.32,11.71,3
11.8,7.55,18.67,12.39,7.06,15.65,4.82,18.45,15.49,42.11,10.87,4
12.87,7.22,15.84,10.82,6.56,15.65,5.82,13.22,15.02,42.38,11.85,2
14.23,9.48,14.07,14.52,7.55,19.77,6.99,10.43,14.02,42.66,12.42,2
12.98,7.28,15.84,10.95,6.61,15.78,5.87,13.11,15.02,42.94,12.13,2
11.89,7.02,17.0,9.89,6.7,15.2,5.17,15.69,15.42,41.84,11.17,4
14.94,16.23,10.42,18.61,12.5,24.42,10.72,8.99,16.79,42.66,12.23,1
11.44,7.16,16.72,10.74,6.61,16.65,4.92,15.0,14.76,41.58,10.7,4
11.89,6.94,17.14,9.85,6.64,15.02,5.19,15.63,15.63,42.66,10.95,4
11.99,7.64,18.59,12.54,7.11,15.39,4.86,18.85,15.42,41.32,11.08,4
12.52,7.19,16.51,10.37,6.81,16.17,5.19,15.83,15.29,41.32,11.43,4
11.8,6.58,17.36,9.47,6.4,14.13,5.13,15.76,15.56,42.38,11.48,3
12.32,7.16,16.72,10.2,6.86,15.84,5.26,15.63,15.56,42.11,11.21,4
11.04,7.31,17.88,11.53,6.67,16.44,4.64,17.14,14.96,40.29,10.57,4
11.39,7.46,17.51,11.35,6.92,17.3,5.09,15.76,15.09,44.07,10.99,4
11.35,7.73,18.11,12.34,7.17,16.24,4.94,17.29,15.09,37.67,11.26,4
12.62,7.05,17.29,10.2,6.67,14.71,5.54,15.06,15.35,42.94,12.18,2
13.03,7.43,15.64,11.13,6.61,15.97,6.01,12.91,14.96,42.38,11.99,2
11.39,7.49,17.66,11.49,6.92,17.15,5.11,16.02,15.09,41.58,10.53,4
11.8,7.58,18.43,12.44,7.03,15.14,4.8,18.77,15.35,41.32,11.21,4
11.66,8.04,18.43,12.64,7.11,15.08,4.84,18.94,15.35,41.84,11.48,4
11.85,7.49,18.67,12.49,7.03,15.71,4.82,18.37,15.42,41.32,11.34,4
12.23,7.22,16.44,10.41,6.83,16.31,5.19,15.96,15.29,41.58,11.3,4
11.8,7.55,18.67,12.54,7.06,15.52,4.84,18.37,15.49,41.05,11.04,4
12.67,7.08,17.07,10.16,6.64,14.71,5.57,14.87,15.29,41.84,12.08,2
11.71,7.76,18.59,12.49,7.2,16.11,4.94,18.05,15.42,40.8,11.26,4
12.87,7.25,15.84,10.87,6.59,15.65,5.82,13.99,15.02,42.66,12.13,2
11.99,7.67,18.67,12.59,7.14,15.52,4.88,18.77,15.56,42.11,10.91,4
12.47,6.94,17.36,10.05,6.67,14.24,5.45,15.5,15.49,43.22,12.27,3
11.66,7.61,18.51,12.29,7.03,15.84,4.82,17.82,15.42,40.04,10.91,4
12.57,7.02,17.14,10.16,6.67,14.71,5.54,15.0,15.29,43.22,12.03,2
13.78,8.67,14.59,13.32,7.11,18.2,6.69,11.1,14.26,43.5,12.27,2
12.72,7.14,16.24,10.53,6.56,14.95,5.66,13.82,15.09,42.66,12.32,2
11.48,7.58,17.88,11.62,7.0,17.22,5.06,16.16,15.15,40.8,10.91,4
11.62,7.76,18.11,12.39,7.2,16.31,4.94,17.82,15.02,39.3,11.12,4
11.85,7.64,18.67,12.44,6.97,15.78,4.84,18.69,15.49,41.58,11.08,4
12.72,6.91,17.43,9.97,6.64,14.18,5.43,15.76,15.56,43.5,12.18,3
11.94,7.61,18.67,12.49,7.11,15.65,4.86,18.45,15.56,40.04,11.34,4
11.44,7.76,18.51,12.39,7.14,16.93,4.92,17.82,15.35,41.32,11.3,4
12.04,8.07,18.51,12.69,7.17,15.08,4.88,18.85,15.42,41.84,11.43,4
11.99,7.05,17.21,9.93,6.75,15.2,5.23,15.63,15.56,41.58,11.21,4
