MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
11.99,7.14,17.07,9.97,6.75,15.33,5.19,15.63,15.42,42.38,11.12,4
14.87,14.24,12.43,18.12,10.93,23.07,8.87,9.38,13.32,42.94,12.67,1
14.52,11.67,13.3,16.54,8.95,21.14,7.71,9.75,13.43,43.78,12.03,1
12.13,6.94,17.51,9.89,6.75,14.77,5.32,15.76,15.84,42.38,11.39,3
12.32,7.49,17.29,11.3,6.94,17.3,5.13,15.56,15.09,38.59,10.95,4
11.48,7.79,18.51,12.29,7.14,16.86,4.94,17.36,15.29,40.8,11.62,4
12.32,7.16,16.79,10.24,6.86,15.91,5.26,15.56,15.49,41.32,11.12,4
11.53,7.76,18.35,12.14,7.09,16.86,4.92,19.62,15.22,40.29,10.82,4
11.39,7.49,17.58,11.39,6.92,17.3,5.11,15.83,15.09,41.05,10.74,4
11.53,7.28,18.19,12.0,6.81,15.33,4.6,17.97,15.15,41.32,11.12,4
12.82,7.16,16.3,10.57,6.61,15.02,5.73,13.99,15.22,40.8,11.89,2
11.99,8.11,18.51,12.59,7.11,15.26,4.86,19.02,15.42,42.38,11.48,4
12.32,7.31,17.29,10.28,7.0,15.78,5.39,15.96,15.7,42.94,11.75,4
11.39,7.64,18.04,11.9,7.03,17.15,5.02,16.57,15.09,41.05,10.95,4
11.62,7.05,17.07,10.87,6.53,16.65,4.84,15.31,14.63,39.3,10.74,4
11.44,7.76,18.59,12.24,7.14,16.79,4.92,17.67,15.35,39.3,11.57,4
11.99,7.11,16.93,10.08,6.75,15.58,5.19,15.5,15.42,41.84,10.99,4
11.66,7.88,18.51,12.59,7.06,15.2,4.78,18.85,15.35,42.66,11.21,4
12.47,6.94,17.29,10.05,6.67,14.36,5.5,15.5,15.49,42.38,12.13,3
14.94,14.42,12.38,18.2,11.06,22.96,8.98,9.42,13.32,42.94,12.87,1
11.71,7.46,17.51,11.35,6.92,17.3,5.09,15.56,15.09,42.66,11.43,4
14.94,16.23,10.26,18.44,12.55,24.3,10.76,8.74,16.87,42.94,12.18,1
11.44,7.79,18.43,12.24,7.14,16.79,4.94,17.22,15.29,39.3,11.12,4
14.11,9.19,14.24,14.46,7.43,19.51,6.93,10.39,14.26,42.38,12.27,2
11.62,7.46,17.51,11.3,6.89,17.3,5.09,15.76,15.02,40.8,10.78,4
12.42,6.91,17.36,10.01,6.64,14.24,5.43,15.56,15.49,42.66,11.89,3
11.99,7.76,18.83,12.59,7.2,15.97,4.92,18.29,15.63,41.58,11.04,4
11.39,6.5,16.93,9.29,6.25,14.24,4.9,15.76,15.15,40.54,10.61,4
11.89,7.49,17.07,11.22,6.92,17.22,5.13,17.22,15.02,40.8,11.71,4
11.62,8.04,18.43,12.69,7.14,15.08,4.86,18.94,15.42,45.26,11.66,4
13.24,7.61,15.32,11.58,6.67,16.79,6.11,12.45,14.96,42.94,11.43,2
11.71,7.52,18.59,12.39,7.03,15.58,4.82,18.37,15.42,41.05,11.21,4
11.85,7.58,18.67,12.39,7.03,15.71,4.82,18.21,15.42,41.84,11.3,4
11.39,7.61,17.96,11.81,7.0,17.15,5.02,16.36,15.09,41.58,10.91,4
11.39,7.82,18.51,12.34,7.17,16.86,4.94,17.59,15.35,41.05,11.17,4
15.0,16.03,10.79,18.52,12.11,23.96,10.1,9.06,15.7,41.84,11.75,1
